bucket,count,node_overlap_jaccard,edge_overlap_jaccard,a_target_top3_concentration,b_target_top3_concentration,delta_target_top3_concentration,a_target_error_ratio,b_target_error_ratio,delta_target_error_ratio,a_traced_max_depth,b_traced_max_depth,delta_traced_max_depth,a_traced_nodes,b_traced_nodes,delta_traced_nodes,a_traced_edges,b_traced_edges,delta_traced_edges
paperpack_stage4_qwen_source_tracing_strict_full,70,0.9399877899877899,0.9223809523809523,0.04175090458287397,0.04185927353443498,-0.00010836895156101079,0.0,0.0,0.0,2.0,2.0,0.0,6.928571428571429,6.928571428571429,0.0,6.0,6.0,0.0
__all__,70,0.9399877899877899,0.9223809523809523,0.04175090458287397,0.04185927353443498,-0.00010836895156101079,0.0,0.0,0.0,2.0,2.0,0.0,6.928571428571429,6.928571428571429,0.0,6.0,6.0,0.0
