bucket,count,node_overlap_jaccard,edge_overlap_jaccard,a_target_top3_concentration,b_target_top3_concentration,delta_target_top3_concentration,a_target_error_ratio,b_target_error_ratio,delta_target_error_ratio,a_traced_max_depth,b_traced_max_depth,delta_traced_max_depth,a_traced_nodes,b_traced_nodes,delta_traced_nodes,a_traced_edges,b_traced_edges,delta_traced_edges
paperpack_stage4_qwen_source_tracing_primary_full_expanded_v2_L26_top16_visual_only,70,0.9793329477540003,0.9528344671201816,0.030646361389701886,0.030677751497974973,-3.139010827308592e-05,0.0,0.0,0.0,2.0,2.0,0.0,16.942857142857143,16.942857142857143,0.0,16.0,16.0,0.0
__all__,70,0.9793329477540003,0.9528344671201816,0.030646361389701886,0.030677751497974973,-3.139010827308592e-05,0.0,0.0,0.0,2.0,2.0,0.0,16.942857142857143,16.942857142857143,0.0,16.0,16.0,0.0
