bucket,count,node_overlap_jaccard,edge_overlap_jaccard,a_target_top3_concentration,b_target_top3_concentration,delta_target_top3_concentration,a_target_error_ratio,b_target_error_ratio,delta_target_error_ratio,a_traced_max_depth,b_traced_max_depth,delta_traced_max_depth,a_traced_nodes,b_traced_nodes,delta_traced_nodes,a_traced_edges,b_traced_edges,delta_traced_edges
paperpack_stage4_qwen_source_tracing_primary_smoke_expanded_v2_L26_top32,3,0.8596491228070176,0.8518518518518517,0.016930716819207017,0.01696443170626387,-3.3714887056854555e-05,0.0,0.0,0.0,2.0,2.0,0.0,17.0,17.0,0.0,16.0,16.0,0.0
__all__,3,0.8596491228070176,0.8518518518518517,0.016930716819207017,0.01696443170626387,-3.3714887056854555e-05,0.0,0.0,0.0,2.0,2.0,0.0,17.0,17.0,0.0,16.0,16.0,0.0
