bucket,count,node_overlap_jaccard,edge_overlap_jaccard,a_target_top3_concentration,b_target_top3_concentration,delta_target_top3_concentration,a_target_error_ratio,b_target_error_ratio,delta_target_error_ratio,a_traced_max_depth,b_traced_max_depth,delta_traced_max_depth,a_traced_nodes,b_traced_nodes,delta_traced_nodes,a_traced_edges,b_traced_edges,delta_traced_edges
paperpack_stage4_qwen_source_tracing_primary_full_hookfix_top8,70,0.9095221111386527,0.8777406720263865,0.031096166804503916,0.030997031992850057,9.913481165385512e-05,0.0,0.0,0.0,2.0,2.0,0.0,16.9,16.928571428571427,-0.02857142857142857,16.0,16.0,0.0
__all__,70,0.9095221111386527,0.8777406720263865,0.031096166804503916,0.030997031992850057,9.913481165385512e-05,0.0,0.0,0.0,2.0,2.0,0.0,16.9,16.928571428571427,-0.02857142857142857,16.0,16.0,0.0
