pack_label,mode,rows,negative_rows,negative_frac,rank_hurt_rows,rank_hurt_frac,negative_samples,top_negative_features
primary_top8,subtract,1120,108,0.09642857142857143,81,0.07232142857142858,39,1091:95;1215:5;2508:5;3353:2;4383:1
primary_top8,add,1120,98,0.0875,78,0.06964285714285715,36,1091:89;1215:5;3353:3;2508:1
strict_top8,subtract,1120,95,0.08482142857142858,71,0.06339285714285714,37,1091:84;1215:4;2508:4;3353:2;4383:1
strict_top8,add,1120,85,0.07589285714285714,64,0.05714285714285714,33,1091:79;1215:3;3353:3
