pack,mode,layer,raw_rows,candidate_count,ok_rows,source_rows
primary,full,10,800,20,800,200
primary,full,11,800,20,800,200
primary,full,12,800,20,800,200
primary,full,13,800,20,800,200
primary,full,14,800,20,800,200
primary,full,15,800,20,800,200
primary,full,16,800,20,800,200
primary,full,17,800,20,800,200
