bucket,count,node_overlap_jaccard,edge_overlap_jaccard,a_target_top3_concentration,b_target_top3_concentration,delta_target_top3_concentration,a_target_error_ratio,b_target_error_ratio,delta_target_error_ratio,a_traced_max_depth,b_traced_max_depth,delta_traced_max_depth,a_traced_nodes,b_traced_nodes,delta_traced_nodes,a_traced_edges,b_traced_edges,delta_traced_edges
paperpack_stage4_qwen_source_tracing_strict_full_expanded_v2_L26_top32,70,0.9147190320122652,0.8829931972789118,0.030841254415806256,0.030824835352709284,1.6419063096974528e-05,0.0,0.0,0.0,2.0,2.0,0.0,16.914285714285715,16.914285714285715,0.0,16.0,16.0,0.0
__all__,70,0.9147190320122652,0.8829931972789118,0.030841254415806256,0.030824835352709284,1.6419063096974528e-05,0.0,0.0,0.0,2.0,2.0,0.0,16.914285714285715,16.914285714285715,0.0,16.0,16.0,0.0
