bucket,count,node_overlap_jaccard,edge_overlap_jaccard,a_target_top3_concentration,b_target_top3_concentration,delta_target_top3_concentration,a_target_error_ratio,b_target_error_ratio,delta_target_error_ratio,a_traced_max_depth,b_traced_max_depth,delta_traced_max_depth,a_traced_nodes,b_traced_nodes,delta_traced_nodes,a_traced_edges,b_traced_edges,delta_traced_edges
paperpack_stage4_qwen_source_tracing_primary_full_expanded_v2_L24_top16,70,0.9100082159392199,0.8991868778529396,0.05038473714802205,0.051723289058872406,-0.001338551910850367,0.0,0.0,0.0,2.0,2.0,0.0,16.34285714285714,16.414285714285715,-0.07142857142857142,15.9,15.9,0.0
__all__,70,0.9100082159392199,0.8991868778529396,0.05038473714802205,0.051723289058872406,-0.001338551910850367,0.0,0.0,0.0,2.0,2.0,0.0,16.34285714285714,16.414285714285715,-0.07142857142857142,15.9,15.9,0.0
