variant,n,route_first_234_frac,route_first_evidence_gold_frac,restore_source_minus_controls_mean,real_minus_shifted_mean,real_minus_shuffled_mean,evidence_specificity_mean
original,48,0.125,0.08333333333333333,0.014756944444444442,0.009765625,-0.001953125,17.746866861979168
dilate,48,0.25,0.16666666666666666,0.014973958333333334,0.09375,0.08203125,16.712732950846355
erode,48,0.14583333333333334,0.125,0.016927083333333332,0.034505208333333336,0.022786458333333332,14.738118489583334
