correct_minus_wrong_ci_low_sem,correct_minus_wrong_mean,correct_minus_wrong_positive_frac,rows,source_damage_target_logit_ci_low_sem,source_damage_target_logit_mean,source_damage_target_logit_positive_frac,source_minus_controls_ci_low_sem,source_minus_controls_mean,source_minus_controls_positive_ci_low_sem,source_minus_controls_positive_frac,source_minus_controls_positive_mean,source_minus_controls_positive_positive_frac,stage6_question_variant,unique_samples
-1.3405292280607615,-0.4609375,0.5,4,-0.7938891311907709,-0.1171875,0.5,-0.897142644439849,-0.03385416657499998,-0.06580326380583323,0.5,0.5,0.5,original,2
-1.5024482602512088,0.22265625,0.25,4,-0.3227797774053632,-0.02734375,0.25,-0.3227797774053632,-0.02734375,-0.24,0.25,0.25,0.25,paraphrase_1,2
