stage6_sample_type,n,unique_original_samples,node_overlap_jaccard_mean,node_overlap_jaccard_ci_low,node_overlap_jaccard_ci_high,edge_overlap_jaccard_mean,edge_overlap_jaccard_ci_low,edge_overlap_jaccard_ci_high,delta_target_total_in_abs_mean,delta_target_total_in_abs_ci_low,delta_target_total_in_abs_ci_high,delta_target_total_in_abs_positive_frac,delta_target_feature_ratio_mean,delta_target_feature_ratio_ci_low,delta_target_feature_ratio_ci_high,delta_target_feature_ratio_positive_frac,delta_target_error_ratio_mean,delta_target_error_ratio_ci_low,delta_target_error_ratio_ci_high,delta_target_error_ratio_positive_frac,delta_traced_nodes_mean,delta_traced_nodes_ci_low,delta_traced_nodes_ci_high,delta_traced_nodes_positive_frac,delta_traced_edges_mean,delta_traced_edges_ci_low,delta_traced_edges_ci_high,delta_traced_edges_positive_frac,a_traced_nodes_mean,a_traced_nodes_ci_low,a_traced_nodes_ci_high,b_traced_nodes_mean,b_traced_nodes_ci_low,b_traced_nodes_ci_high,a_traced_edges_mean,a_traced_edges_ci_low,a_traced_edges_ci_high,b_traced_edges_mean,b_traced_edges_ci_low,b_traced_edges_ci_high
compact_scene_inference,8,1,0.18475486483990974,-0.04498798902720649,0.414497718707026,0.125,-0.12,0.37,-16.786466121673584,-33.72362685172872,0.15069460838154924,0.375,-0.0361756999692858,-0.08565614513969186,0.013304745201120252,0.25,0.03567502572604422,-0.014411169542939452,0.08576122099502789,0.75,3.625,-0.021892512811420684,7.271892512811421,0.625,-6.5,-12.153989741766427,-0.8460102582335729,0.0,25.625,21.97810748718858,29.27189251281142,22.0,22.0,22.0,54.5,48.84601025823358,60.15398974176642,61.0,61.0,61.0
symbol_text_reading,8,1,0.5784233482648388,0.45745165381395375,0.6993950427157238,0.5984397702295208,0.4760319205111525,0.720847619947889,-4.988211154937745,-18.957859436271693,8.981437126396205,0.5,-0.02396280863398277,-0.034316170627989695,-0.013609446639975846,0.125,0.0075152029352417785,0.003534834377168266,0.011495571493315291,0.875,2.0,0.1853926044457994,3.8146073955542006,0.625,5.875,1.4388276634017023,10.311172336598297,0.625,25.0,23.1853926044458,26.8146073955542,23.0,23.0,23.0,34.875,30.438827663401703,39.3111723365983,29.0,29.0,29.0
visual_readout,8,1,0.20260327800506372,-0.024925577431272744,0.4301321334414002,0.15339883670363122,-0.08767766732704418,0.3944753407343066,-6.617957830429077,-10.549037818089072,-2.686877842769081,0.0,-0.0919404678831218,-0.15101038978975811,-0.032870545976485484,0.125,0.049520964051874075,0.020674154355990095,0.07836777374775805,0.875,0.125,-3.4554503906631635,3.7054503906631635,0.375,0.25,-6.597488590717037,7.097488590717037,0.375,29.125,25.544549609336837,32.70545039066317,29.0,29.0,29.0,39.25,32.402511409282965,46.097488590717035,39.0,39.0,39.0
