model,variant,n,lens,target_effect_union_mean,target_effect_answer_mean,target_rank_union_mean,real_minus_shifted_mean,real_minus_shuffled_mean,correct_minus_wrong_mean,evidence_specificity_mean,route_first_234_frac,route_first_evidence_gold_frac,restore_source_minus_controls_mean
qwen,original,132,route_first_layer14,,,,0.04640151515151515,0.03409090909090909,,15.14410215435606,0.14393939393939395,0.09090909090909091,0.026830808080808084
qwen,dilate,132,route_first_layer14,,,,0.058712121212121215,0.04640151515151515,,12.631216338186553,0.16666666666666666,0.11363636363636363,0.019728535353535352
qwen,erode,132,route_first_layer14,,,,0.030776515151515152,0.018465909090909092,,12.128196022727273,0.10606060606060606,0.07575757575757576,0.021464646464646464
gemma,original,6,hidden_lattice_layer1_visual+answer_restore,3.25,5.09375,374.6666666666667,3.5416666666666665,1.0833333333333333,4.666666666666667,0.041666666666666664,,,
gemma,dilate,6,hidden_lattice_layer1_visual+answer_restore,6.375,7.6875,324.8333333333333,6.666666666666667,4.208333333333333,2.2291666666666665,3.1666666666666665,,,
gemma,erode,6,hidden_lattice_layer1_visual+answer_restore,7.927083333333333,7.84375,368.6666666666667,8.21875,5.760416666666667,4.177083333333333,4.71875,,,
