clean_source_minus_controls_ci_low_sem,clean_source_minus_controls_mean,clean_source_minus_controls_positive_frac,pos234_numeric_ci_low_sem,pos234_numeric_mean,pos234_numeric_positive_frac,real_minus_shifted_ci_low_sem,real_minus_shifted_mean,real_minus_shifted_positive_frac,real_minus_shuffled_ci_low_sem,real_minus_shuffled_mean,real_minus_shuffled_positive_frac,restore_correct_minus_wrong_ci_low_sem,restore_correct_minus_wrong_mean,restore_correct_minus_wrong_positive_frac,restore_source_minus_controls_ci_low_sem,restore_source_minus_controls_mean,restore_source_minus_controls_positive_frac,rows,stage6_prompt_family,stage6_question_variant,unique_samples
-0.0001798130277138668,0.008680555555555554,0.4583333333333333,0.27639103593977254,0.34375,0.34375,0.012932899673893761,0.022664388020833332,0.5989583333333334,0.006194081357658275,0.01593695746527778,0.5364583333333334,0.004082433910123839,0.012193467881944446,0.5416666666666666,0.01907649079782546,0.025377061631944444,0.640625,192,A_step_visual,original,12
-0.007384788584158564,0.0018446180555555549,0.4270833333333333,0.3264789443721495,0.3958333333333333,0.3958333333333333,0.014171347303652944,0.025390625,0.5885416666666666,0.01667631043165781,0.026475694444444444,0.5833333333333334,0.0056731130279472994,0.013780381944444446,0.578125,0.0222256500715919,0.028971354166666668,0.6354166666666666,192,A_step_visual,paraphrase_1,12
-0.00911997762627583,-0.0008680555555555552,0.3229166666666667,0.367145856572749,0.4375,0.4375,0.02687672115625936,0.035420735677083336,0.71875,0.011564455261266699,0.021748860677083332,0.5885416666666666,-0.0008521605728199896,0.007154676649305555,0.4791666666666667,0.019790395148102685,0.02554660373263889,0.6822916666666666,192,A_step_visual,paraphrase_2,12
0.02128127388751521,0.029513888888888885,0.6302083333333334,0.4815587843767717,0.5520833333333334,0.5520833333333334,0.03852256463575516,0.04924456278483073,0.75,0.03727268930588873,0.049027548895941846,0.6927083333333334,0.022811394872511232,0.03090688917371962,0.6666666666666666,0.039796781473707035,0.04685741000705295,0.7552083333333334,192,B_direct,original,12
-0.005724735702481722,0.0024956597222222225,0.3958333333333333,0.3163934773624775,0.3854166666666667,0.3854166666666667,0.016713197032148387,0.02733272976345486,0.5833333333333334,0.0217148461757449,0.031021965874565974,0.640625,0.0017804042868428266,0.00921207004123264,0.5208333333333334,0.024797202204920127,0.030804951985677082,0.6822916666666666,192,B_direct,paraphrase_1,12
-0.016127563261260087,-0.007921006944444444,0.28125,0.3315340428831253,0.4010416666666667,0.4010416666666667,0.012490125459424815,0.023378160264756944,0.5989583333333334,0.022545555216291462,0.0330352783203125,0.671875,0.002821740749343298,0.0105743408203125,0.515625,0.019783183335224077,0.025765313042534724,0.6458333333333334,192,B_direct,paraphrase_2,12
-0.0014521973885626245,0.007052951388888889,0.4375,0.377392117710105,0.4479166666666667,0.4479166666666667,0.02495605089943359,0.035380045572916664,0.6666666666666666,0.02750656878779635,0.037333170572916664,0.65625,0.003489241302912646,0.010586208767361112,0.5260416666666666,0.029199718178752433,0.03494601779513889,0.75,192,C_step_only,original,12
-0.007712793836576499,0.0007595486111111124,0.3541666666666667,0.38252699399256995,0.453125,0.453125,0.0213440224481558,0.03260633680555556,0.625,0.02862533527087513,0.03846571180555556,0.7083333333333334,0.017643631486727884,0.02609592013888889,0.6458333333333334,0.02535594482556702,0.032172309027777776,0.6354166666666666,192,C_step_only,paraphrase_1,12
-0.0060710488665272466,0.0023871527777777775,0.3958333333333333,0.3416686984224264,0.4114583333333333,0.4114583333333333,0.02003972187334302,0.030904134114583332,0.6197916666666666,0.015486044426057015,0.027106391059027776,0.5885416666666666,0.013371116750006243,0.020650227864583332,0.6458333333333334,0.023808196182640715,0.029927571614583332,0.6979166666666666,192,C_step_only,paraphrase_2,12
0.01631392318578876,0.024848090277777776,0.640625,0.5348122777054828,0.6041666666666666,0.6041666666666666,0.03901481115956246,0.04904852973090278,0.71875,0.04101121985550367,0.05132717556423611,0.7395833333333334,0.021344140169733967,0.029571533203125,0.6666666666666666,0.03567145646590999,0.04221259223090278,0.8020833333333334,192,D_visual_only,original,12
-0.011858571052508985,-0.0027126736111111106,0.3802083333333333,0.3569311119175055,0.4270833333333333,0.4270833333333333,0.0189781461802336,0.029493543836805556,0.6458333333333334,0.02669601526850717,0.03763156467013889,0.640625,0.009803904121476512,0.01739501953125,0.5885416666666666,0.025113726816419574,0.031880696614583336,0.6770833333333334,192,D_visual_only,paraphrase_1,12
-0.01091465268050854,-0.002604166666666666,0.3854166666666667,0.25167872451672657,0.3177083333333333,0.3177083333333333,0.01616428610590715,0.026295979817708332,0.6145833333333334,0.00780876966216512,0.018049452039930556,0.5364583333333334,0.006546518098579114,0.013546413845486112,0.578125,0.02029382095612871,0.025536431206597224,0.6614583333333334,192,D_visual_only,paraphrase_2,12
