stage6_question_variant,n,unique_original_samples,node_overlap_jaccard_mean,node_overlap_jaccard_ci_low,node_overlap_jaccard_ci_high,edge_overlap_jaccard_mean,edge_overlap_jaccard_ci_low,edge_overlap_jaccard_ci_high,delta_target_total_in_abs_mean,delta_target_total_in_abs_ci_low,delta_target_total_in_abs_ci_high,delta_target_total_in_abs_positive_frac,delta_target_feature_ratio_mean,delta_target_feature_ratio_ci_low,delta_target_feature_ratio_ci_high,delta_target_feature_ratio_positive_frac,delta_target_error_ratio_mean,delta_target_error_ratio_ci_low,delta_target_error_ratio_ci_high,delta_target_error_ratio_positive_frac,delta_traced_nodes_mean,delta_traced_nodes_ci_low,delta_traced_nodes_ci_high,delta_traced_nodes_positive_frac,delta_traced_edges_mean,delta_traced_edges_ci_low,delta_traced_edges_ci_high,delta_traced_edges_positive_frac,a_traced_nodes_mean,a_traced_nodes_ci_low,a_traced_nodes_ci_high,b_traced_nodes_mean,b_traced_nodes_ci_low,b_traced_nodes_ci_high,a_traced_edges_mean,a_traced_edges_ci_low,a_traced_edges_ci_high,b_traced_edges_mean,b_traced_edges_ci_low,b_traced_edges_ci_high
original,12,3,0.4357492194392782,0.21114884996677147,0.660349588911785,0.4213683559699262,0.17861659252856132,0.6641201194112911,-11.27062733968099,-21.782515556948198,-0.7587391224137825,0.25,-0.055364901582005605,-0.0937968523335011,-0.016932950830510107,0.16666666666666666,0.03700815304503215,0.009303653776264072,0.06471265231380022,0.8333333333333334,1.75,-0.6761261052937622,4.176126105293762,0.4166666666666667,-2.5,-6.547839678224183,1.5478396782241832,0.16666666666666666,26.416666666666668,24.2126292785807,28.620704054752636,24.666666666666668,22.839880561303623,26.493452772029713,40.5,34.17412720119455,46.82587279880545,43.0,35.1008293492483,50.8991706507517
paraphrase_1,12,3,0.20810510796726334,0.08943518517857454,0.32677503075595216,0.1631907153188417,0.026298571769254264,0.3000828588684291,-7.657796065012614,-18.48846171768716,3.1728695876619293,0.3333333333333333,-0.046021082742254645,-0.08705427118238246,-0.004987894302126823,0.16666666666666666,0.024799308763741233,-0.004249038012187324,0.05384765553966979,0.8333333333333334,2.0833333333333335,-0.745254314382056,4.911920981048723,0.6666666666666666,2.25,-4.0233223037934795,8.52332230379348,0.5,26.75,23.6032070197412,29.8967929802588,24.666666666666668,22.839880561303623,26.493452772029713,45.25,38.37463841171266,52.12536158828734,43.0,35.1008293492483,50.8991706507517
