stage6_prompt_family,n,unique_original_samples,node_overlap_jaccard_mean,node_overlap_jaccard_ci_low,node_overlap_jaccard_ci_high,edge_overlap_jaccard_mean,edge_overlap_jaccard_ci_low,edge_overlap_jaccard_ci_high,delta_target_total_in_abs_mean,delta_target_total_in_abs_ci_low,delta_target_total_in_abs_ci_high,delta_target_total_in_abs_positive_frac,delta_target_feature_ratio_mean,delta_target_feature_ratio_ci_low,delta_target_feature_ratio_ci_high,delta_target_feature_ratio_positive_frac,delta_target_error_ratio_mean,delta_target_error_ratio_ci_low,delta_target_error_ratio_ci_high,delta_target_error_ratio_positive_frac,delta_traced_nodes_mean,delta_traced_nodes_ci_low,delta_traced_nodes_ci_high,delta_traced_nodes_positive_frac,delta_traced_edges_mean,delta_traced_edges_ci_low,delta_traced_edges_ci_high,delta_traced_edges_positive_frac,a_traced_nodes_mean,a_traced_nodes_ci_low,a_traced_nodes_ci_high,b_traced_nodes_mean,b_traced_nodes_ci_low,b_traced_nodes_ci_high,a_traced_edges_mean,a_traced_edges_ci_low,a_traced_edges_ci_high,b_traced_edges_mean,b_traced_edges_ci_low,b_traced_edges_ci_high
A_step_visual,6,3,0.21707911713658842,0.011936602014034375,0.42222163225914244,0.1956349206349206,-0.04226703205704496,0.4335368733268862,-22.77019500732422,-40.68471284368198,-4.855677170966459,0.16666666666666666,-0.10363755180982266,-0.15517544294806912,-0.05209966067157622,0.0,0.07137361309359506,0.030070174205327677,0.11267705198186245,1.0,2.5,-1.4118248086197998,6.4118248086198,0.5,-5.333333333333333,-13.232995210766934,2.5663285441002683,0.16666666666666666,27.166666666666668,24.770616212736748,29.562717120596588,24.666666666666668,21.95710499649851,27.376228336834824,37.666666666666664,32.82141698843083,42.511916344902495,43.0,31.283636514116964,54.716363485883036
B_direct,6,3,0.6055753555753555,0.24303798154327494,0.968112729607436,0.5723270440251572,0.17659245059321005,0.9680616374571044,4.537924448649089,-2.1792829982590227,11.2551318955572,0.5,0.007649088960450605,-0.019462426462775566,0.03476060438367678,0.5,-0.009320824814886927,-0.03289894322280709,0.014257293593033238,0.5,1.5,-1.1658882197121465,4.165888219712146,0.3333333333333333,3.8333333333333335,-2.3526673492114436,10.01933401587811,0.3333333333333333,26.166666666666668,22.43350833743509,29.899824995898246,24.666666666666668,21.95710499649851,27.376228336834824,46.833333333333336,36.94984452061588,56.71682214605079,43.0,31.283636514116964,54.716363485883036
C_step_only,6,3,0.21325773560796601,0.018950896239776166,0.40756457497615584,0.18105035781163803,-0.03953136921245287,0.40163208483572893,-21.00954469045003,-32.360401843060274,-9.658687537839786,0.0,-0.09347777644768031,-0.14987703826887383,-0.03707851462648679,0.0,0.05403356788642719,0.01523381308577574,0.09283332268707864,1.0,1.5,-3.503441482286635,6.503441482286635,0.6666666666666666,-3.8333333333333335,-11.793550527466783,4.126883860800115,0.3333333333333333,26.166666666666668,22.83210555944764,29.501227773885695,24.666666666666668,21.95710499649851,27.376228336834824,39.166666666666664,29.41360127959761,48.919732053735714,43.0,31.283636514116964,54.716363485883036
D_visual_only,6,3,0.251796446493173,0.08047193020313562,0.42312096278321043,0.2201058201058201,-0.003838960467935887,0.44405060067957614,1.384968439737956,-4.7757503250115185,7.545687204487431,0.5,-0.013305729351468116,-0.02567311872115039,-0.0009383399817858382,0.16666666666666666,0.007528567452411416,-0.0027063218308174012,0.017763456735640233,0.8333333333333334,2.1666666666666665,-1.4621280521223579,5.795461385455691,0.6666666666666666,4.833333333333333,-1.1847852357139006,10.851451902380568,0.5,26.833333333333332,21.03189519745319,32.634771469213476,24.666666666666668,21.95710499649851,27.376228336834824,47.833333333333336,36.752638208728364,58.91402845793831,43.0,31.283636514116964,54.716363485883036
