pack,layer_band,n,restore_source_minus_controls_mean,real_minus_shifted_mean,real_minus_shuffled_mean,restore_correct_minus_wrong_mean,route_first_234_frac,route_first_gold_frac,route_first_evidence_gold_frac
primary,L10-L12,15360,0.025443409548865425,0.02712138493855794,0.024653530120849608,0.01850251356760661,0.090234375,0.0666015625,0.0587890625
primary,L13-L15,4608,0.02501045333014594,0.027298715379503038,0.020998530917697482,0.015888664457533095,0.08506944444444445,0.06358506944444445,0.059244791666666664
primary,L16-L17,3072,0.023038493262396917,0.02753909428914388,0.020998160044352215,0.015622347593307495,0.08170572916666667,0.056966145833333336,0.051432291666666664
strict,L10-L12,1329,0.06422092503762228,0.11733005314145975,0.11025236314898419,0.04767823918947517,1.0,0.7501881113619263,0.6621519939804364
strict,L13-L15,364,0.06264666323260074,0.11920233087225275,0.10529436383928571,0.04853711809430804,1.0,0.771978021978022,0.7197802197802198
strict,L16-L17,237,0.061821488220815755,0.11356144514767932,0.10894646624472573,0.039990903958992616,1.0,0.7130801687763713,0.6455696202531646
