stage6_sample_type,n,unique_original_samples,node_overlap_jaccard_mean,node_overlap_jaccard_ci_low,node_overlap_jaccard_ci_high,edge_overlap_jaccard_mean,edge_overlap_jaccard_ci_low,edge_overlap_jaccard_ci_high,delta_target_total_in_abs_mean,delta_target_total_in_abs_ci_low,delta_target_total_in_abs_ci_high,delta_target_total_in_abs_positive_frac,delta_target_feature_ratio_mean,delta_target_feature_ratio_ci_low,delta_target_feature_ratio_ci_high,delta_target_feature_ratio_positive_frac,delta_target_error_ratio_mean,delta_target_error_ratio_ci_low,delta_target_error_ratio_ci_high,delta_target_error_ratio_positive_frac,delta_traced_nodes_mean,delta_traced_nodes_ci_low,delta_traced_nodes_ci_high,delta_traced_nodes_positive_frac,delta_traced_edges_mean,delta_traced_edges_ci_low,delta_traced_edges_ci_high,delta_traced_edges_positive_frac,a_traced_nodes_mean,a_traced_nodes_ci_low,a_traced_nodes_ci_high,b_traced_nodes_mean,b_traced_nodes_ci_low,b_traced_nodes_ci_high,a_traced_edges_mean,a_traced_edges_ci_low,a_traced_edges_ci_high,b_traced_edges_mean,b_traced_edges_ci_low,b_traced_edges_ci_high
compact_scene_inference,8,1,0.17231217277350136,-0.06050511188607968,0.4051294574330824,0.125,-0.12,0.37,-12.914913177490234,-25.874274383384567,0.044448028404097784,0.25,-0.028668054399935704,-0.07624623201842286,0.018910123218551445,0.5,0.02898722964173383,-0.02047066779049672,0.07844512707396438,0.375,2.625,-2.1175968624794583,7.367596862479458,0.375,-7.25,-13.726797047924228,-0.7732029520757724,0.0,25.625,20.88240313752054,30.36759686247946,23.0,23.0,23.0,53.75,47.27320295207577,60.22679704792423,61.0,61.0,61.0
symbol_text_reading,8,1,0.47523685725473946,0.3253008051817386,0.6251729093277403,0.4405334526389926,0.27971645735998396,0.6013504479180012,-2.6990604400634766,-13.891140794438266,8.493019914311313,0.5,-0.0054379387278333784,-0.008499083386203315,-0.002376794069463442,0.125,-0.01103550862458759,-0.017912957125622898,-0.00415806012355228,0.0,2.375,0.488568183050339,4.261431816949661,0.625,3.0,1.0053070411714993,4.994692958828501,0.625,19.375,17.48856818305034,21.26143181694966,17.0,17.0,17.0,19.0,17.0053070411715,20.9946929588285,16.0,16.0,16.0
visual_readout,8,1,0.21390896379864605,-0.01572099316401432,0.4435389207613064,0.17310107182407844,-0.06909562936882249,0.41529777301697934,-3.188430070877075,-5.230965613982467,-1.1458945277716834,0.125,-0.06426530971836368,-0.10610882167317173,-0.022421797763555636,0.125,0.01412336964971372,0.007546738475959798,0.020700000823467644,0.875,0.875,0.09472761166372168,1.6552723883362783,0.625,-1.875,-5.7498967728186,1.9998967728185995,0.25,20.875,20.09472761166372,21.65527238833628,20.0,20.0,20.0,26.125,22.250103227181402,29.999896772818598,28.0,28.0,28.0
