attempted_over_planned,attempted_rows,error_rows,not_attempted_rows,out_of_range_over_attempted,planned_aligned_rows,planned_rows,skipped_unaligned_rows,source_pos_out_of_range_rows,stage6_prompt_family,unique_samples,usable_exact_over_planned,usable_exact_over_planned_aligned,usable_exact_rows
1.0,132,0,0,0.0,68,132,64,0,A_step_visual,12,0.5151515151515151,1.0,68
1.0,132,14,0,0.10606060606060606,132,132,0,14,B_direct,12,0.8939393939393939,0.8939393939393939,118
1.0,132,0,0,0.0,112,132,20,0,C_step_only,12,0.8484848484848485,1.0,112
1.0,128,0,0,0.0,116,128,12,0,D_visual_only,12,0.90625,1.0,116
