pack,layer_band,n,restore_source_minus_controls_mean,real_minus_shifted_mean,real_minus_shuffled_mean,restore_correct_minus_wrong_mean,route_first_234_frac,route_first_gold_frac,route_first_evidence_gold_frac
primary,L10-L12,640,0.03802083333333333,0.0595703125,0.043359375,0.023046875,0.1640625,0.1046875,0.0859375
primary,L13-L15,192,0.03135850694444444,0.0595703125,0.034830729166666664,0.021158854166666668,0.08854166666666667,0.057291666666666664,0.041666666666666664
primary,L16-L17,128,0.028645833333333336,0.0654296875,0.0478515625,0.0166015625,0.171875,0.1171875,0.1171875
strict,L10-L12,105,0.07341269841269842,0.1386904761904762,0.11666666666666667,0.04702380952380952,1.0,0.638095238095238,0.5238095238095238
strict,L13-L15,17,0.04779411764705882,0.13602941176470587,0.10661764705882353,0.04411764705882353,1.0,0.6470588235294118,0.47058823529411764
strict,L16-L17,22,0.07859848484848485,0.11079545454545454,0.10511363636363637,0.03977272727272727,1.0,0.6818181818181818,0.6818181818181818
