model_family,direction,n_rows,n_samples,source_visual_increment_over_answer_adjacent_mean,source_visual_increment_over_answer_adjacent_ci95_low,source_visual_increment_over_answer_adjacent_ci95_high,source_visual_increment_over_answer_adjacent_status,delta_visual_increment_over_answer_adjacent_mean,delta_visual_increment_over_answer_adjacent_ci95_low,delta_visual_increment_over_answer_adjacent_ci95_high,delta_visual_increment_over_answer_adjacent_status,activation_visual_increment_over_answer_adjacent_mean,activation_visual_increment_over_answer_adjacent_ci95_low,activation_visual_increment_over_answer_adjacent_ci95_high,activation_visual_increment_over_answer_adjacent_status,combo_minus_delta_combo_mean,combo_minus_delta_combo_ci95_low,combo_minus_delta_combo_ci95_high,combo_minus_delta_combo_status,combo_minus_activation_combo_mean,combo_minus_activation_combo_ci95_low,combo_minus_activation_combo_ci95_high,combo_minus_activation_combo_status,visual_minus_delta_visual_mean,visual_minus_delta_visual_ci95_low,visual_minus_delta_visual_ci95_high,visual_minus_delta_visual_status,visual_minus_activation_visual_mean,visual_minus_activation_visual_ci95_low,visual_minus_activation_visual_ci95_high,visual_minus_activation_visual_status,combo_minus_answer_adjacent_mean,combo_minus_answer_adjacent_ci95_low,combo_minus_answer_adjacent_ci95_high,combo_minus_answer_adjacent_status,case_label_counts
llava,corrupt,24,12,0.225911,0.00765,0.514323,stable_positive,0.032389,-0.069987,0.146647,weak_or_heterogeneous_positive,0.0,-0.012207,0.011882,not_positive,0.193522,-0.045736,0.49056,weak_or_heterogeneous_positive,0.225911,0.006185,0.513509,stable_positive,0.213216,-0.033691,0.515137,weak_or_heterogeneous_positive,0.200358,-0.021647,0.498698,weak_or_heterogeneous_positive,0.225911,0.00765,0.514323,stable_positive,"{""above_both_matched_controls"": 12, ""activation_absorbed_delta_positive"": 3, ""not_above_matched_controls"": 9}"
llava,restore,24,12,1.197917,0.646322,1.775228,stable_positive,1.051432,0.535156,1.559896,stable_positive,0.101888,-0.014648,0.256673,weak_or_heterogeneous_positive,0.146484,-0.269043,0.549805,weak_or_heterogeneous_positive,1.096029,0.497396,1.704264,stable_positive,0.114746,-0.257324,0.490885,weak_or_heterogeneous_positive,0.991862,0.507161,1.49349,stable_positive,1.197917,0.646322,1.775228,stable_positive,"{""above_both_matched_controls"": 18, ""delta_absorbed_activation_positive"": 2, ""not_above_matched_controls"": 4}"
qwen,corrupt,24,12,0.147786,0.032552,0.288411,stable_positive,-0.001302,-0.03125,0.026042,not_positive,0.034505,0.010417,0.064453,stable_positive,0.149089,0.044271,0.273438,stable_positive,0.113281,-0.003255,0.254557,weak_or_heterogeneous_positive,0.205729,0.03125,0.416667,stable_positive,0.169271,0.013021,0.356771,stable_positive,0.147786,0.032552,0.288411,stable_positive,"{""above_both_matched_controls"": 5, ""activation_absorbed_delta_positive"": 6, ""not_above_matched_controls"": 13}"
qwen,restore,24,12,0.81901,0.091146,1.764323,stable_positive,0.41276,-0.028646,1.046875,weak_or_heterogeneous_positive,0.480469,0.028646,1.144531,stable_positive,0.40625,0.101562,0.778646,stable_positive,0.338542,0.054688,0.6875,stable_positive,0.278646,0.075521,0.526042,stable_positive,0.277344,0.00651,0.61849,stable_positive,0.81901,0.091146,1.764323,stable_positive,"{""above_both_matched_controls"": 7, ""activation_absorbed_delta_positive"": 4, ""not_above_matched_controls"": 13}"
