model_family,reasoning_operation,direction,n_rows,n_samples,source_visual_increment_over_answer_adjacent_mean,source_visual_increment_over_answer_adjacent_ci95_low,source_visual_increment_over_answer_adjacent_ci95_high,source_visual_increment_over_answer_adjacent_status,delta_visual_increment_over_answer_adjacent_mean,delta_visual_increment_over_answer_adjacent_ci95_low,delta_visual_increment_over_answer_adjacent_ci95_high,delta_visual_increment_over_answer_adjacent_status,activation_visual_increment_over_answer_adjacent_mean,activation_visual_increment_over_answer_adjacent_ci95_low,activation_visual_increment_over_answer_adjacent_ci95_high,activation_visual_increment_over_answer_adjacent_status,combo_minus_delta_combo_mean,combo_minus_delta_combo_ci95_low,combo_minus_delta_combo_ci95_high,combo_minus_delta_combo_status,combo_minus_activation_combo_mean,combo_minus_activation_combo_ci95_low,combo_minus_activation_combo_ci95_high,combo_minus_activation_combo_status,visual_minus_delta_visual_mean,visual_minus_delta_visual_ci95_low,visual_minus_delta_visual_ci95_high,visual_minus_delta_visual_status,visual_minus_activation_visual_mean,visual_minus_activation_visual_ci95_low,visual_minus_activation_visual_ci95_high,visual_minus_activation_visual_status,combo_minus_answer_adjacent_mean,combo_minus_answer_adjacent_ci95_low,combo_minus_answer_adjacent_ci95_high,combo_minus_answer_adjacent_status,case_label_counts
llava,symbol_text_reading,corrupt,16,8,0.253174,-0.046143,0.669189,weak_or_heterogeneous_positive,0.008301,-0.134766,0.175537,weak_or_heterogeneous_positive,0.001709,-0.015625,0.018066,weak_or_heterogeneous_positive,0.244873,-0.10083,0.679199,weak_or_heterogeneous_positive,0.251465,-0.045898,0.667236,weak_or_heterogeneous_positive,0.302002,-0.058838,0.738037,weak_or_heterogeneous_positive,0.25415,-0.065674,0.683105,weak_or_heterogeneous_positive,0.253174,-0.046143,0.669189,weak_or_heterogeneous_positive,"{""above_both_matched_controls"": 8, ""activation_absorbed_delta_positive"": 3, ""not_above_matched_controls"": 5}"
llava,symbol_text_reading,restore,16,8,1.523926,0.78418,2.294434,stable_positive,1.379639,0.662842,2.083496,stable_positive,0.148438,-0.016602,0.372803,weak_or_heterogeneous_positive,0.144287,-0.481689,0.738281,weak_or_heterogeneous_positive,1.375488,0.548584,2.209717,stable_positive,0.10083,-0.456055,0.639893,weak_or_heterogeneous_positive,1.276611,0.596191,1.957031,stable_positive,1.523926,0.78418,2.294434,stable_positive,"{""above_both_matched_controls"": 12, ""delta_absorbed_activation_positive"": 2, ""not_above_matched_controls"": 2}"
llava,visual_readout,corrupt,8,4,0.171387,-0.009277,0.411133,weak_or_heterogeneous_positive,0.080566,-0.000488,0.178711,weak_or_heterogeneous_positive,-0.003418,-0.010742,0.004883,not_positive,0.09082,-0.024414,0.224121,weak_or_heterogeneous_positive,0.174805,-0.003906,0.418945,weak_or_heterogeneous_positive,0.035645,-0.037598,0.12207,weak_or_heterogeneous_positive,0.092773,-0.011719,0.227539,weak_or_heterogeneous_positive,0.171387,-0.009277,0.411133,weak_or_heterogeneous_positive,"{""above_both_matched_controls"": 4, ""not_above_matched_controls"": 4}"
llava,visual_readout,restore,8,4,0.545898,0.061035,1.195312,stable_positive,0.39502,0.037109,0.900391,stable_positive,0.008789,-0.061523,0.091309,weak_or_heterogeneous_positive,0.150879,0.018066,0.297852,stable_positive,0.537109,0.048828,1.22168,stable_positive,0.142578,0.015625,0.288574,stable_positive,0.422363,0.081543,0.874023,stable_positive,0.545898,0.061035,1.195312,stable_positive,"{""above_both_matched_controls"": 6, ""not_above_matched_controls"": 2}"
qwen,symbol_text_reading,corrupt,16,8,0.225586,0.055664,0.431641,stable_positive,0.005859,-0.037109,0.042969,weak_or_heterogeneous_positive,0.051758,0.017578,0.09082,stable_positive,0.219727,0.060547,0.398438,stable_positive,0.173828,-0.008789,0.387695,weak_or_heterogeneous_positive,0.3125,0.046875,0.632812,stable_positive,0.242188,0.0,0.53125,weak_or_heterogeneous_positive,0.225586,0.055664,0.431641,stable_positive,"{""above_both_matched_controls"": 4, ""activation_absorbed_delta_positive"": 5, ""not_above_matched_controls"": 7}"
qwen,symbol_text_reading,restore,16,8,1.197266,0.097656,2.644531,stable_positive,0.619141,-0.042969,1.572266,weak_or_heterogeneous_positive,0.708984,0.039062,1.695312,stable_positive,0.578125,0.105469,1.132812,stable_positive,0.488281,0.046875,1.015625,stable_positive,0.386719,0.072266,0.757812,stable_positive,0.396484,-0.027344,0.931641,weak_or_heterogeneous_positive,1.197266,0.097656,2.644531,stable_positive,"{""above_both_matched_controls"": 5, ""activation_absorbed_delta_positive"": 2, ""not_above_matched_controls"": 9}"
qwen,visual_readout,corrupt,8,4,-0.007812,-0.046875,0.023438,not_positive,-0.015625,-0.046875,0.0,not_positive,0.0,0.0,0.0,not_positive,0.007812,-0.039062,0.054688,weak_or_heterogeneous_positive,-0.007812,-0.046875,0.023438,not_positive,-0.007812,-0.070312,0.054688,not_positive,0.023438,0.0,0.054688,weak_or_heterogeneous_positive,-0.007812,-0.046875,0.023438,not_positive,"{""above_both_matched_controls"": 1, ""activation_absorbed_delta_positive"": 1, ""not_above_matched_controls"": 6}"
qwen,visual_readout,restore,8,4,0.0625,-0.007812,0.132812,weak_or_heterogeneous_positive,0.0,-0.03125,0.039062,not_positive,0.023438,-0.015625,0.0625,weak_or_heterogeneous_positive,0.0625,0.015625,0.109375,stable_positive,0.039062,-0.015625,0.109375,weak_or_heterogeneous_positive,0.0625,0.007812,0.132812,stable_positive,0.039062,-0.015625,0.109375,weak_or_heterogeneous_positive,0.0625,-0.007812,0.132812,weak_or_heterogeneous_positive,"{""above_both_matched_controls"": 2, ""activation_absorbed_delta_positive"": 2, ""not_above_matched_controls"": 4}"
