model_family,direction,n_rows,n_samples,pattern_counts,mean_combo_minus_image,combo_minus_image_ci95_low,combo_minus_image_ci95_high,combo_minus_image_status,mean_combo_minus_answer,combo_minus_answer_ci95_low,combo_minus_answer_ci95_high,combo_minus_answer_status,mean_combo_minus_max_single,combo_minus_max_single_ci95_low,combo_minus_max_single_ci95_high,combo_minus_max_single_status,mean_combo_minus_delta_matched,combo_minus_delta_matched_ci95_low,combo_minus_delta_matched_ci95_high,combo_minus_delta_matched_status,mean_combo_minus_activation_matched,combo_minus_activation_matched_ci95_low,combo_minus_activation_matched_ci95_high,combo_minus_activation_matched_status
llava,corrupt,24,12,"{""combo_stronger_than_both"": 13, ""image_only_dominant"": 2, ""answer_adjacent_dominant"": 3, ""combo_not_best"": 6}",0.359863,0.198893,0.535319,stable_positive,0.225912,0.008626,0.500977,stable_positive,0.044596,-0.041829,0.140462,weak_positive,0.193522,-0.048503,0.476888,weak_positive,0.225912,0.007813,0.497396,stable_positive
llava,restore,24,12,"{""combo_stronger_than_both"": 18, ""combo_not_best"": 4, ""answer_adjacent_dominant"": 2}",0.590657,0.38623,0.800781,stable_positive,1.197917,0.637695,1.787272,stable_positive,0.419759,0.204753,0.653483,stable_positive,0.146484,-0.296224,0.524577,weak_positive,1.096029,0.468099,1.727051,stable_positive
qwen,corrupt,24,12,"{""answer_adjacent_dominant"": 9, ""combo_stronger_than_both"": 10, ""combo_not_best"": 5}",2.758464,1.695312,3.832682,stable_positive,0.147786,0.031901,0.296875,stable_positive,-0.013672,-0.251953,0.212891,heterogeneous,0.149089,0.041667,0.28125,stable_positive,0.113281,-0.004557,0.261719,weak_positive
qwen,restore,24,12,"{""answer_adjacent_dominant"": 6, ""combo_not_best"": 7, ""combo_stronger_than_both"": 11}",3.075521,1.984375,4.169271,stable_positive,0.81901,0.088542,1.802083,stable_positive,0.460938,-0.072917,1.179688,weak_positive,0.40625,0.09375,0.807292,stable_positive,0.338542,0.049479,0.716146,stable_positive
