model_family,direction,n_rows,n_samples,source_visual_increment_over_answer_adjacent_mean,source_visual_increment_over_answer_adjacent_ci95_low,source_visual_increment_over_answer_adjacent_ci95_high,source_visual_increment_over_answer_adjacent_status,delta_visual_increment_over_answer_adjacent_mean,delta_visual_increment_over_answer_adjacent_ci95_low,delta_visual_increment_over_answer_adjacent_ci95_high,delta_visual_increment_over_answer_adjacent_status,activation_visual_increment_over_answer_adjacent_mean,activation_visual_increment_over_answer_adjacent_ci95_low,activation_visual_increment_over_answer_adjacent_ci95_high,activation_visual_increment_over_answer_adjacent_status,combo_minus_delta_combo_mean,combo_minus_delta_combo_ci95_low,combo_minus_delta_combo_ci95_high,combo_minus_delta_combo_status,combo_minus_activation_combo_mean,combo_minus_activation_combo_ci95_low,combo_minus_activation_combo_ci95_high,combo_minus_activation_combo_status,visual_minus_delta_visual_mean,visual_minus_delta_visual_ci95_low,visual_minus_delta_visual_ci95_high,visual_minus_delta_visual_status,visual_minus_activation_visual_mean,visual_minus_activation_visual_ci95_low,visual_minus_activation_visual_ci95_high,visual_minus_activation_visual_status,combo_minus_answer_adjacent_mean,combo_minus_answer_adjacent_ci95_low,combo_minus_answer_adjacent_ci95_high,combo_minus_answer_adjacent_status,case_label_counts
llava,corrupt,48,24,0.258057,0.078857,0.484294,stable_positive,-0.005697,-0.086019,0.074544,not_positive,-0.025391,-0.04777,-0.006999,not_positive,0.263753,0.043864,0.542725,stable_positive,0.283447,0.098958,0.51473,stable_positive,0.296794,0.053548,0.611003,stable_positive,0.289307,0.083252,0.552653,stable_positive,0.258057,0.078857,0.484294,stable_positive,"{""above_both_matched_controls"": 25, ""activation_absorbed_delta_positive"": 3, ""delta_absorbed_activation_positive"": 8, ""not_above_matched_controls"": 12}"
llava,restore,48,24,1.009033,0.577067,1.478271,stable_positive,0.822021,0.463053,1.209635,stable_positive,0.08374,0.007731,0.179036,stable_positive,0.187012,-0.112223,0.51416,weak_or_heterogeneous_positive,0.925293,0.508464,1.376709,stable_positive,0.140584,-0.091024,0.377116,weak_or_heterogeneous_positive,0.742025,0.420369,1.080892,stable_positive,1.009033,0.577067,1.478271,stable_positive,"{""above_both_matched_controls"": 31, ""delta_absorbed_activation_positive"": 10, ""not_above_matched_controls"": 7}"
qwen,corrupt,48,24,0.061523,-0.002279,0.136719,weak_or_heterogeneous_positive,0.009766,-0.011068,0.029297,weak_or_heterogeneous_positive,0.023763,0.008464,0.041016,stable_positive,0.051758,-0.008138,0.122396,weak_or_heterogeneous_positive,0.03776,-0.025716,0.113932,weak_or_heterogeneous_positive,0.095052,-0.002604,0.210938,weak_or_heterogeneous_positive,0.09375,0.00651,0.195312,stable_positive,0.061523,-0.002279,0.136719,weak_or_heterogeneous_positive,"{""above_both_matched_controls"": 5, ""activation_absorbed_delta_positive"": 6, ""delta_absorbed_activation_positive"": 1, ""not_above_matched_controls"": 36}"
qwen,restore,48,24,0.474609,0.09375,0.979167,stable_positive,0.288411,0.058594,0.61263,stable_positive,0.258464,0.015625,0.597656,stable_positive,0.186198,0.009115,0.398438,stable_positive,0.216146,0.033854,0.429688,stable_positive,0.117188,0.001302,0.255859,stable_positive,0.141927,-0.000651,0.323568,weak_or_heterogeneous_positive,0.474609,0.09375,0.979167,stable_positive,"{""above_both_matched_controls"": 10, ""activation_absorbed_delta_positive"": 4, ""delta_absorbed_activation_positive"": 5, ""not_above_matched_controls"": 29}"
