source_pack,model_family,mask_condition,n_rows,n_samples,source_effect_logit_mean,source_effect_logit_ci95_low,source_effect_logit_ci95_high,source_effect_logit_status,source_effect_logit_positive_n,source_minus_random_logit_mean,source_minus_random_logit_ci95_low,source_minus_random_logit_ci95_high,source_minus_random_logit_status,source_minus_random_logit_positive_n,source_minus_low_delta_logit_mean,source_minus_low_delta_logit_ci95_low,source_minus_low_delta_logit_ci95_high,source_minus_low_delta_logit_status,source_minus_low_delta_logit_positive_n,source_minus_delta_matched_logit_mean,source_minus_delta_matched_logit_ci95_low,source_minus_delta_matched_logit_ci95_high,source_minus_delta_matched_logit_status,source_minus_delta_matched_logit_positive_n,source_minus_activation_matched_logit_mean,source_minus_activation_matched_logit_ci95_low,source_minus_activation_matched_logit_ci95_high,source_minus_activation_matched_logit_status,source_minus_activation_matched_logit_positive_n
stage2m,llava,union_mask,96,24,1.050354,0.739766,1.36556,stable_positive,78,0.928772,0.64032,1.228973,stable_positive,78,1.034159,0.727295,1.343241,stable_positive,77,0.225382,0.038615,0.422567,stable_positive,59,0.60437,0.373006,0.847249,stable_positive,74
stage2m,qwen,union_mask,96,24,2.618652,1.986328,3.227376,stable_positive,80,2.577962,1.951497,3.17985,stable_positive,80,2.618652,1.986003,3.225423,stable_positive,80,0.118978,0.024089,0.23291,stable_positive,25,0.126953,0.02832,0.245443,stable_positive,21
stage2n_heldout,llava,answer_mask,112,28,1.102888,0.894549,1.344727,stable_positive,105,0.920284,0.758427,1.096741,stable_positive,101,1.08456,0.879028,1.313581,stable_positive,105,0.093087,-0.02757,0.21957,weak_or_heterogeneous_positive,64,0.313442,0.198399,0.43825,stable_positive,80
stage2n_heldout,llava,union_mask,112,28,1.005999,0.84389,1.180908,stable_positive,104,0.808136,0.678659,0.935468,stable_positive,101,0.992536,0.82959,1.163068,stable_positive,105,-0.135236,-0.262887,-0.020717,not_positive,60,0.194319,0.128732,0.274798,stable_positive,79
stage2n_heldout,qwen,answer_mask,112,28,3.878209,3.172712,4.656808,stable_positive,96,3.834926,3.147879,4.601597,stable_positive,97,3.872907,3.169085,4.650251,stable_positive,96,-0.029855,-0.108538,0.046596,not_positive,36,-0.009487,-0.055525,0.035993,not_positive,34
stage2n_heldout,qwen,union_mask,112,28,3.559012,2.915876,4.239537,stable_positive,93,3.528669,2.890346,4.204729,stable_positive,93,3.548549,2.904297,4.227121,stable_positive,93,0.060547,0.011719,0.11356,stable_positive,40,0.001395,-0.04827,0.053292,weak_or_heterogeneous_positive,37
