position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_clean_mask_logit_gap,mean_effect_rank
answer_adjacent_text,corrupt,activation_matched_topk,union_mask,144,144,0.0008680555555555555,-0.01628146701388889,0.017583550347222192,0.3055555555555556,0.012877466754051037,3.0641682942708335,1.0208333333333333
answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.016167534722222224,-0.03200954861111111,0.00043674045138887406,0.2222222222222222,0.0009085444149623573,3.0641682942708335,-2.125
answer_adjacent_text,corrupt,drop_matched_topk,union_mask,144,144,-0.006184895833333333,-0.031901041666666664,0.021495225694444384,0.3472222222222222,0.013859461341960677,3.0641682942708335,0.5277777777777778
answer_adjacent_text,corrupt,evidence_attribution_topk,union_mask,144,144,0.15049913194444445,0.11013183593749999,0.1908637152777778,0.6597222222222222,0.04033597990348115,3.0641682942708335,5.090277777777778
answer_adjacent_text,corrupt,random_active_topk,union_mask,144,144,-0.00390625,-0.015842013888888888,0.00803493923611108,0.24305555555555555,-0.01624457799287724,3.0641682942708335,0.7847222222222222
answer_adjacent_text,restore,activation_matched_topk,union_mask,144,144,0.028049045138888888,0.009547254774305557,0.047421603732638866,0.4166666666666667,0.01702076865099056,3.0641682942708335,-9.430555555555555
answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.026394314236111112,-0.04058295355902778,-0.011880832248263891,0.18055555555555555,0.0031098302790979076,3.0641682942708335,-59.6875
answer_adjacent_text,restore,drop_matched_topk,union_mask,144,144,0.024698893229166668,-0.0029588487413194442,0.05250583224826388,0.4305555555555556,0.013974735691463068,3.0641682942708335,41.604166666666664
answer_adjacent_text,restore,evidence_attribution_topk,union_mask,144,144,0.2627631293402778,0.21336229112413194,0.3131412082248264,0.7569444444444444,0.0626941776810555,3.0641682942708335,358.4513888888889
answer_adjacent_text,restore,random_active_topk,union_mask,144,144,0.008531358506944444,-0.002129448784722222,0.019260321723090276,0.3055555555555556,-0.0029629267983900475,3.0641682942708335,8.041666666666666
top_hidden_delta,corrupt,activation_matched_topk,union_mask,144,144,-0.0048828125,-0.010527886284722223,0.0005425347222222222,0.06944444444444445,-0.006024683566549719,3.0641682942708335,0.1388888888888889
top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.0016276041666666667,-0.0032552083333333335,0.006401909722222222,0.06944444444444445,0.002043329261423846,3.0641682942708335,0.1597222222222222
