position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
answer_adjacent_text,corrupt,activation_matched_topk,union_mask,144,144,0.001247829861111111,-0.005452813042534722,0.008315700954861104,0.4513888888888889,0.006857674180771854,0.2847222222222222
answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.004475911458333333,-0.006877305772569444,-0.001953125,0.2569444444444444,0.01506915171986398,-0.1736111111111111
answer_adjacent_text,corrupt,drop_matched_topk,union_mask,144,144,-0.00016276041666666666,-0.012763468424479167,0.01599324544270832,0.4027777777777778,-0.01307257419996403,0.2222222222222222
answer_adjacent_text,corrupt,evidence_attribution_topk,union_mask,144,144,0.03211805555555555,0.016437445746527776,0.05392862955729166,0.6666666666666666,-0.006082680628086932,1.6597222222222223
answer_adjacent_text,corrupt,random_active_topk,union_mask,144,144,0.0016004774305555555,-0.0008141411675347222,0.003946940104166667,0.3333333333333333,-0.004849372930150967,-0.041666666666666664
answer_adjacent_text,restore,activation_matched_topk,union_mask,144,144,0.0009087456597222222,-0.005494350857204861,0.007202317979600694,0.4930555555555556,0.005071070485632474,0.25
answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.005377875434027778,-0.00788726806640625,-0.0027667575412326398,0.22916666666666666,0.005188459576435614,-1.4791666666666667
answer_adjacent_text,restore,drop_matched_topk,union_mask,144,144,-0.006340874565972222,-0.018684217664930555,0.009664408365885415,0.3958333333333333,-0.01337865957163601,-2.548611111111111
answer_adjacent_text,restore,evidence_attribution_topk,union_mask,144,144,0.020053439670138888,0.010389031304253473,0.029061381022135405,0.6736111111111112,-0.016576084205546265,6.958333333333333
answer_adjacent_text,restore,random_active_topk,union_mask,144,144,-0.0008409288194444445,-0.003528171115451389,0.001844787597656249,0.375,0.005123910715068881,-0.5902777777777778
top_hidden_delta,corrupt,activation_matched_topk,union_mask,144,144,-0.0011121961805555555,-0.00537109375,0.003391520182291663,0.2638888888888889,0.019628834235810647,-0.09027777777777778
top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.0009765625,-0.0003255208333333333,0.0023328993055555555,0.24305555555555555,-0.00371243289630536,0.04861111111111111
top_hidden_delta,corrupt,drop_matched_topk,union_mask,144,144,-0.010810004340277778,-0.019870673285590276,-0.0032138400607638925,0.3055555555555556,0.028016191931773658,-0.2708333333333333
top_hidden_delta,corrupt,evidence_attribution_topk,union_mask,144,144,-0.004136827256944444,-0.010377332899305555,0.0015194363064236092,0.4027777777777778,0.04298875728838113,-0.4097222222222222
top_hidden_delta,corrupt,random_active_topk,union_mask,144,144,0.00031195746527777775,-0.0011393229166666667,0.001736450195312498,0.3055555555555556,0.002029968680756028,-0.020833333333333332
top_hidden_delta,restore,activation_matched_topk,union_mask,144,144,0.0008884006076388889,-0.0014853583441840276,0.003167046440972222,0.3819444444444444,-0.005321698841445369,-0.11805555555555555
