mask_condition,mask_variant,intervention,feature_role,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_clean_mask_logit_gap,mean_effect_rank
answer_mask,mask_shuffled,restore,matched_control,122,122,-0.0056352459016393444,-0.01331967213114754,0.0015368852459016393,0.07377049180327869,0.004856421738039551,2.9872686667520494,-0.4344262295081967
answer_mask,mask_shuffled,restore,source,122,122,-0.00934938524590164,-0.018442622950819672,-0.0005122950819672131,0.11475409836065574,0.005361564069240486,2.9872686667520494,0.32786885245901637
answer_mask,real_mask,restore,matched_control,122,122,0.00865298411885246,-0.002354155993852459,0.019973904969262282,0.21311475409836064,0.013508731952380873,2.9872686667520494,30.950819672131146
answer_mask,real_mask,restore,source,122,122,0.04220030737704918,0.01772180776127049,0.0677086001536885,0.4262295081967213,0.017553291221133922,2.9872686667520494,55.91803278688525
answer_mask,real_mask,zeroing,matched_control,122,122,-0.024846311475409836,-0.0466188524590164,-0.004098360655737705,0.20491803278688525,0.018348257643881545,2.9872686667520494,4.057377049180328
answer_mask,real_mask,zeroing,source,122,122,0.16086065573770492,0.1411372950819672,0.1831454918032787,1.0,-0.008524398348202742,2.9872686667520494,2.6885245901639343
union_mask,mask_shuffled,restore,matched_control,120,120,0.0049479166666666664,-0.00234375,0.012506510416666632,0.18333333333333332,-0.0027628664566057273,2.841455078125,-0.03333333333333333
union_mask,mask_shuffled,restore,source,120,120,-0.010546875,-0.020442708333333334,-0.0009082031250000178,0.15,0.0037355454713377378,2.841455078125,-0.3
union_mask,real_mask,restore,matched_control,120,120,0.0201171875,0.0073217773437500005,0.03307535807291665,0.36666666666666664,0.007189503968594179,2.841455078125,28.475
union_mask,real_mask,restore,source,120,120,0.039599609375,0.016485595703125,0.06847696940104164,0.38333333333333336,0.008886386829064011,2.841455078125,20.733333333333334
union_mask,real_mask,zeroing,matched_control,120,120,-0.04544270833333333,-0.09805664062500001,-0.008330078125000018,0.18333333333333332,-0.05074937241935803,2.841455078125,-0.375
union_mask,real_mask,zeroing,source,120,120,0.159375,0.13932291666666666,0.18099609374999998,1.0,0.010231240009391148,2.841455078125,3.908333333333333
