run,node_type,n,path_mass_best_mean,path_mass_best_positive_rate,depth_from_target_mean,depth_from_target_positive_rate
A,error,1117,0.00748105313887845,1.0,2.4171888988361685,1.0
A,feature,629,0.009568768240363856,1.0,2.1939586645469,1.0
A,logit,71,1.0,1.0,0.0,0.0
A,token,194,0.008164630750651807,1.0,2.7783505154639174,1.0
B,error,1141,0.007792796930090483,1.0,2.469763365468887,1.0
B,feature,686,0.009463619941426873,1.0,2.303206997084548,1.0
B,logit,71,1.0,1.0,0.0,0.0
B,token,217,0.006028821231653513,1.0,3.0691244239631335,1.0
