mask_condition,mask_variant,intervention,feature_role,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
answer_mask,mask_shifted,restore,matched_control,143,143,0.004698426573426573,-0.006774475524475524,0.015625,0.20279720279720279,-0.0007790825754710141,-1.167832167832168
answer_mask,mask_shifted,restore,source,143,143,0.03769667832167832,0.009279392482517482,0.06753168706293704,0.3356643356643357,0.025522605430907983,2.4335664335664338
answer_mask,mask_shuffled,restore,matched_control,143,143,0.0018438592657342657,-0.008741600196678322,0.011760407561188808,0.1958041958041958,-0.0025485733548398248,-8.692307692307692
answer_mask,mask_shuffled,restore,source,143,143,0.010694383741258742,-0.011150568181818182,0.03233446241258738,0.25874125874125875,-0.003643220983351,34.60839160839161
answer_mask,real_mask,restore,matched_control,143,143,0.017834216564685316,-0.00022331184440559432,0.034955303485576905,0.3006993006993007,0.007202236247899081,44.35664335664335
answer_mask,real_mask,restore,source,143,143,0.1511879234047203,0.09486049838833041,0.20750540353201483,0.5734265734265734,0.05165941008454853,299.54545454545456
answer_mask,real_mask,zeroing,matched_control,143,143,0.031031468531468532,-0.007003933566433566,0.06861888111888112,0.3776223776223776,0.043454381084005296,2.6363636363636362
answer_mask,real_mask,zeroing,source,143,143,0.6687062937062938,0.6095907998251748,0.7296874999999999,1.0,0.07084286032504551,27.95104895104895
union_mask,mask_shifted,restore,matched_control,143,143,-0.0003277972027972028,-0.009396853146853146,0.008522727272727272,0.1888111888111888,-0.0026661977816467798,-0.7902097902097902
union_mask,mask_shifted,restore,source,143,143,0.04250437062937063,0.015515734265734266,0.07266717657342654,0.32167832167832167,0.07863878085709752,4.3426573426573425
union_mask,mask_shuffled,restore,matched_control,143,143,-0.003155048076923077,-0.011310027862762237,0.005136513876748246,0.16783216783216784,-0.0020019891868704133,0.4965034965034965
union_mask,mask_shuffled,restore,source,143,143,0.021204381555944056,5.463286713286713e-05,0.04425962221372374,0.2937062937062937,0.014025485260084467,37.16083916083916
union_mask,real_mask,restore,matched_control,143,143,0.013057255244755244,0.0012005572552447553,0.025161849868881103,0.2937062937062937,-0.01039182331369105,1.8041958041958042
union_mask,real_mask,restore,source,143,143,0.16893848339160839,0.11192669635052448,0.22671922803758737,0.5944055944055944,0.09350581534132431,79.65734265734265
union_mask,real_mask,zeroing,matched_control,143,143,0.05146416083916084,0.018788243006993006,0.08741258741258741,0.38461538461538464,-0.08861707220054092,-0.7902097902097902
union_mask,real_mask,zeroing,source,143,143,0.6317744755244755,0.5734265734265734,0.6953671328671329,1.0,0.09779103710573878,19.97902097902098
