mask_condition,mask_variant,intervention,feature_role,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
answer_mask,mask_shifted,restore,matched_control,143,143,0.002513111888111888,-0.00895979020979021,0.012893356643356644,0.18181818181818182,-0.0022044754276473446,-1.3286713286713288
answer_mask,mask_shifted,restore,source,143,143,0.0392263986013986,0.010596044580419581,0.06993280157342656,0.32867132867132864,0.02774440389529515,3.006993006993007
answer_mask,mask_shuffled,restore,matched_control,143,143,0.0018438592657342657,-0.007964106206293706,0.011927720716783195,0.18181818181818182,-0.0024547290524379035,-8.734265734265735
answer_mask,mask_shuffled,restore,source,143,143,0.031017810314685316,0.0006364729020979024,0.0670758440777972,0.27972027972027974,0.006442605516777389,35.23076923076923
answer_mask,real_mask,restore,matched_control,143,143,0.019691734047202796,0.0014837945257867135,0.038459062909746496,0.3076923076923077,0.007709422682397144,46.27972027972028
answer_mask,real_mask,restore,source,143,143,0.16692218913898602,0.10772009362707605,0.2286376099486451,0.5944055944055944,0.05855552361536001,323.94405594405595
answer_mask,real_mask,zeroing,matched_control,143,143,0.025349650349650348,-0.013772945804195804,0.064253715034965,0.3706293706293706,0.038787245434699906,2.5664335664335662
answer_mask,real_mask,zeroing,source,143,143,0.6785402097902098,0.6189903846153846,0.7404966127622378,1.0,0.07372557220409234,32.76223776223776
union_mask,mask_shifted,restore,matched_control,143,143,-0.0009833916083916085,-0.009615384615384616,0.00743006993006993,0.18181818181818182,-0.0031498018876670595,-0.7552447552447552
union_mask,mask_shifted,restore,source,143,143,0.043378496503496504,0.015294471153846155,0.07440996503496504,0.3146853146853147,0.08001022255040117,4.440559440559441
union_mask,mask_shuffled,restore,matched_control,143,143,-0.0009697333916083916,-0.008741941652097903,0.006692867679195803,0.16783216783216784,-0.0011441711097927804,0.4755244755244755
union_mask,mask_shuffled,restore,source,143,143,0.03737571022727273,0.008247002021416086,0.07282714843749999,0.2937062937062937,0.01802875496361183,37.48951048951049
union_mask,real_mask,restore,matched_control,143,143,0.008249562937062938,-0.0035258686625874126,0.020733173076923076,0.2727272727272727,-0.01097794809607123,-3.6503496503496504
union_mask,real_mask,restore,source,143,143,0.18674879807692307,0.12094282670454545,0.2586248224431818,0.5944055944055944,0.10149719611098597,82.72727272727273
union_mask,real_mask,zeroing,matched_control,143,143,0.026551573426573428,0.0005435970279720282,0.054089270104895094,0.3706293706293706,-0.09495202371263385,-0.7272727272727273
union_mask,real_mask,zeroing,source,143,143,0.6638986013986014,0.5968039772727273,0.7377731643356643,1.0,0.10629940314241543,22.433566433566433
