asset_id,position_group,direction,comparison_count,mean_evidence_effect,mean_control_effect,mean_evidence_minus_control,ci95_low,ci95_high,positive_count
qwen2p5vl_plt,answer_adjacent_text,corrupt,48,0.20703125,0.0,0.20703125,0.1162109375,0.2936197916666667,39
qwen2p5vl_plt,answer_adjacent_text,restore,48,0.369140625,0.02783203125,0.34130859375,0.24381510416666666,0.4493815104166667,42
qwen2p5vl_plt,top_hidden_delta,corrupt,48,-0.005208333333333333,0.0013020833333333333,-0.006510416666666667,-0.022786458333333332,0.009114583333333334,9
qwen2p5vl_plt,top_hidden_delta,restore,48,0.0,-0.0003255208333333333,0.0003255208333333333,-0.005533854166666667,0.007649739583333333,6
qwen2p5vl_plt,top_hidden_delta_plus_answer_adjacent,corrupt,48,0.014322916666666666,-0.013671875,0.027994791666666668,-0.012044270833333334,0.06673177083333333,27
qwen2p5vl_plt,top_hidden_delta_plus_answer_adjacent,restore,48,0.08333333333333333,0.012369791666666666,0.07096354166666667,0.0302734375,0.11328125,36
qwen2p5vl_clt,answer_adjacent_text,corrupt,48,0.9186197916666666,-0.064453125,0.9830729166666666,0.7932942708333334,1.1741536458333333,45
qwen2p5vl_clt,answer_adjacent_text,restore,48,1.0833333333333333,-0.07796223958333333,1.1612955729166667,0.9698893229166666,1.3585611979166667,47
qwen2p5vl_clt,top_hidden_delta,corrupt,48,-0.009114583333333334,-0.0026041666666666665,-0.006510416666666667,-0.022786458333333332,0.0087890625,11
qwen2p5vl_clt,top_hidden_delta,restore,48,0.001953125,-0.0035807291666666665,0.005533854166666667,-0.0017903645833333333,0.013346354166666666,13
qwen2p5vl_clt,top_hidden_delta_plus_answer_adjacent,corrupt,48,0.3151041666666667,0.0166015625,0.2985026041666667,0.16438802083333334,0.4401041666666667,39
qwen2p5vl_clt,top_hidden_delta_plus_answer_adjacent,restore,48,0.4928385416666667,0.023111979166666668,0.4697265625,0.3297526041666667,0.62060546875,40
llava15_clt,answer_adjacent_text,corrupt,48,0.00439453125,0.00201416015625,0.00238037109375,-0.015116373697916666,0.01953125,26
llava15_clt,answer_adjacent_text,restore,48,0.020589192708333332,0.0030619303385416665,0.017527262369791668,0.005320231119791667,0.029917399088541668,30
llava15_clt,top_hidden_delta,corrupt,48,-0.00048828125,0.004231770833333333,-0.004720052083333333,-0.01519775390625,0.004720052083333333,20
llava15_clt,top_hidden_delta,restore,48,0.0037027994791666665,0.0012613932291666667,0.00244140625,-0.00067138671875,0.005818684895833333,28
llava15_clt,top_hidden_delta_plus_answer_adjacent,corrupt,48,-0.0037434895833333335,0.004964192708333333,-0.008707682291666666,-0.025227864583333332,0.006632486979166667,27
llava15_clt,top_hidden_delta_plus_answer_adjacent,restore,48,0.006673177083333333,0.0003458658854166667,0.006327311197916667,-0.0012410481770833333,0.0152587890625,28
