position_group,direction,feature_group,mask_condition,n_pairs,mean_plt,mean_clt,mean_clt_minus_plt,ci95_low_clt_minus_plt,ci95_high_clt_minus_plt,plt_positive_frac,clt_positive_frac,same_positive_frac,sign_agreement_frac,kind,mask_variant,intervention
answer_adjacent_text,corrupt,activation_matched_topk,union_mask,144,-0.002170138888888889,0.017144097222222224,0.019314236111111112,-0.010850694444444444,0.049484592013888856,0.2916666666666667,0.375,0.1388888888888889,0.375,feature,,
answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,-0.018120659722222224,-0.1996527777777778,-0.18153211805555555,-0.20963541666666666,-0.154296875,0.2222222222222222,0.034722222222222224,0.020833333333333332,0.4236111111111111,feature,,
answer_adjacent_text,corrupt,drop_matched_topk,union_mask,144,-0.005099826388888889,0.08203125,0.0871310763888889,0.028428819444444444,0.14910210503472213,0.3472222222222222,0.5763888888888888,0.2361111111111111,0.4236111111111111,feature,,
answer_adjacent_text,corrupt,evidence_attribution_topk,union_mask,144,0.13878038194444445,0.9180772569444444,0.779296875,0.6840223524305555,0.8855278862847222,0.6388888888888888,0.9861111111111112,0.6388888888888888,0.6527777777777778,feature,,
answer_adjacent_text,corrupt,random_active_topk,union_mask,144,-0.004774305555555556,0.007378472222222222,0.012152777777777778,-0.013899739583333333,0.03493923611111111,0.25,0.375,0.10416666666666667,0.3680555555555556,feature,,
answer_adjacent_text,restore,activation_matched_topk,union_mask,144,0.030327690972222224,0.009019639756944444,-0.021308051215277776,-0.053277248806423615,0.011807250976562461,0.4166666666666667,0.3888888888888889,0.18055555555555555,0.4166666666666667,feature,,
answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,union_mask,144,-0.026394314236111112,-0.2516822814941406,-0.22528796725802952,-0.25850454966227215,-0.1941413031684028,0.18055555555555555,0.027777777777777776,0.0,0.5277777777777778,feature,,
answer_adjacent_text,restore,drop_matched_topk,union_mask,144,0.029473198784722224,0.0782199435763889,0.048746744791666664,-0.01150241427951389,0.1124443901909722,0.4444444444444444,0.5,0.2777777777777778,0.5138888888888888,feature,,
answer_adjacent_text,restore,evidence_attribution_topk,union_mask,144,0.2610270182291667,1.1678466796875,0.9068196614583334,0.7802130805121528,1.0411946614583334,0.7638888888888888,0.9722222222222222,0.7569444444444444,0.7708333333333334,feature,,
answer_adjacent_text,restore,random_active_topk,union_mask,144,0.009833441840277778,0.007554796006944444,-0.0022786458333333335,-0.02156643337673611,0.016753811306423595,0.3194444444444444,0.4097222222222222,0.19444444444444445,0.4375,feature,,
