run,node_type,n,path_mass_best_mean,path_mass_best_positive_rate,depth_from_target_mean,depth_from_target_positive_rate
A,error,1087,0.007582704096617565,1.0,2.395584176632935,1.0
A,feature,643,0.009614696224251762,1.0,2.171073094867807,1.0
A,logit,71,1.0,1.0,0.0,0.0
A,token,199,0.007865881849013913,1.0,2.7839195979899496,1.0
B,error,1121,0.007870369711694605,1.0,2.4852809991079394,1.0
B,feature,696,0.009535483643781898,1.0,2.2902298850574714,1.0
B,logit,71,1.0,1.0,0.0,0.0
B,token,207,0.006127891887074358,1.0,3.101449275362319,1.0
