position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
answer_adjacent_text,corrupt,activation_matched_topk,union_mask,144,144,0.020833333333333332,-0.009337022569444443,0.05078125,0.3819444444444444,-0.01492276305581628,-0.1875
answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.21028645833333334,-0.24002278645833333,-0.18250325520833335,0.034722222222222224,-0.038120503677696566,-7.111111111111111
answer_adjacent_text,corrupt,drop_matched_topk,union_mask,144,144,0.08441840277777778,0.03232964409722223,0.139111328125,0.5694444444444444,0.07370796992540686,2.111111111111111
answer_adjacent_text,corrupt,evidence_attribution_topk,union_mask,144,144,0.9875217013888888,0.8694661458333334,1.111886935763889,0.9861111111111112,0.259047826288722,44.56944444444444
answer_adjacent_text,corrupt,random_active_topk,union_mask,144,144,0.004991319444444444,-0.015190972222222222,0.026041666666666668,0.3680555555555556,0.016015456102149668,0.5763888888888888
answer_adjacent_text,restore,activation_matched_topk,union_mask,144,144,0.011189778645833334,-0.018474663628472224,0.041948445638020776,0.3888888888888889,-0.02430541644531447,-45.13194444444444
answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.2558055453830295,-0.2872865358988444,-0.22490302191840278,0.027777777777777776,-0.049720901968364976,-327.36805555555554
answer_adjacent_text,restore,drop_matched_topk,union_mask,144,144,0.08418782552083333,0.027946980794270833,0.14697570800781248,0.4861111111111111,0.06355978322551106,175.20138888888889
answer_adjacent_text,restore,evidence_attribution_topk,union_mask,144,144,1.2154812282986112,1.0463677300347223,1.3852115207248263,0.9722222222222222,0.2857021253105936,910.7291666666666
answer_adjacent_text,restore,random_active_topk,union_mask,144,144,0.005167643229166667,-0.013904147677951388,0.02348124186197915,0.3958333333333333,0.015107255128054406,-4.930555555555555
top_hidden_delta,corrupt,activation_matched_topk,union_mask,144,144,-0.0016276041666666667,-0.0078125,0.004234483506944429,0.10416666666666667,-0.0009231574926220338,0.3055555555555556
top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.001953125,-0.008680555555555556,0.004557291666666667,0.1111111111111111,-0.007699076745935583,0.1111111111111111
