mask_condition,mask_variant,intervention,n_pairs,mean_plt,mean_clt,mean_clt_minus_plt,ci95_low_clt_minus_plt,ci95_high_clt_minus_plt,plt_positive_frac,clt_positive_frac,same_positive_frac,sign_agreement_frac
answer_mask,mask_shuffled,restore,121,-0.0029700413223140497,0.008910123966942149,0.011880165289256199,-0.013787286931818181,0.04081143465909088,0.15702479338842976,0.2644628099173554,0.06611570247933884,0.3884297520661157
answer_mask,real_mask,restore,121,0.035761557334710745,0.11159647791838843,0.07583492058367769,0.010378196022727274,0.14210724633587285,0.4214876033057851,0.5041322314049587,0.2727272727272727,0.4214876033057851
answer_mask,real_mask,zeroing,121,0.18491735537190082,0.6167355371900827,0.4318181818181818,0.34799522210743805,0.5250581095041321,0.9256198347107438,0.9752066115702479,0.9090909090909091,0.9090909090909091
union_mask,mask_shuffled,restore,120,-0.011848958333333333,0.023819986979166666,0.0356689453125,0.012742513020833334,0.060831705729166664,0.10833333333333334,0.31666666666666665,0.03333333333333333,0.43333333333333335
union_mask,real_mask,restore,120,0.022086588541666667,0.141748046875,0.11966145833333333,0.05790771484375,0.18649251302083333,0.35833333333333334,0.5666666666666667,0.25,0.425
union_mask,real_mask,zeroing,120,0.198828125,0.5821614583333333,0.38333333333333336,0.2958268229166667,0.47527343749999995,0.925,0.9583333333333334,0.8916666666666667,0.8916666666666667
