bucket,count,node_overlap_jaccard,edge_overlap_jaccard,a_target_top3_concentration,b_target_top3_concentration,delta_target_top3_concentration,a_target_error_ratio,b_target_error_ratio,delta_target_error_ratio,a_traced_max_depth,b_traced_max_depth,delta_traced_max_depth,a_traced_nodes,b_traced_nodes,delta_traced_nodes,a_traced_edges,b_traced_edges,delta_traced_edges
paperpack_smoke,2,0.5964912280701754,0.49825341378215304,0.07187579181517204,0.07050098489255094,0.0013748069226210968,0.5874319799259125,0.5793397845738237,0.008092195352088716,3.5,3.5,0.0,27.5,29.0,-1.5,43.0,49.5,-6.5
__all__,2,0.5964912280701754,0.49825341378215304,0.07187579181517204,0.07050098489255094,0.0013748069226210968,0.5874319799259125,0.5793397845738237,0.008092195352088716,3.5,3.5,0.0,27.5,29.0,-1.5,43.0,49.5,-6.5
