mask_condition,mask_variant,intervention,n_pairs,mean_plt,mean_clt,mean_clt_minus_plt,ci95_low_clt_minus_plt,ci95_high_clt_minus_plt,plt_positive_frac,clt_positive_frac,same_positive_frac,sign_agreement_frac
answer_mask,mask_shuffled,restore,122,-0.003714139344262295,0.03265881147540984,0.03637295081967213,0.0013431736680327869,0.07770876024590163,0.14754098360655737,0.28688524590163933,0.07377049180327869,0.4098360655737705
answer_mask,real_mask,restore,122,0.03354732325819672,0.1306612608862705,0.09711393762807377,0.03475481877561475,0.1677542264344262,0.4098360655737705,0.5409836065573771,0.27049180327868855,0.39344262295081966
answer_mask,real_mask,zeroing,122,0.18570696721311475,0.6385758196721312,0.45286885245901637,0.37575883709016394,0.5368980532786884,0.9344262295081968,0.9836065573770492,0.9180327868852459,0.9180327868852459
union_mask,mask_shuffled,restore,120,-0.015494791666666667,0.0415283203125,0.057023111979166666,0.0218389892578125,0.099788818359375,0.10833333333333334,0.30833333333333335,0.03333333333333333,0.4166666666666667
union_mask,real_mask,restore,120,0.019482421875,0.16935221354166666,0.14986979166666667,0.0804296875,0.2332430013020833,0.3416666666666667,0.5666666666666667,0.23333333333333334,0.38333333333333336
union_mask,real_mask,zeroing,120,0.20481770833333332,0.6438802083333334,0.4390625,0.34527994791666666,0.5307356770833334,0.9333333333333333,0.9833333333333333,0.9166666666666666,0.9166666666666666
