run,n,delta_target_logit_mean,delta_target_logit_positive_rate,delta_target_prob_mean,delta_target_prob_positive_rate
A,57,0.10942639802631579,0.49122807017543857,-0.007475974614884742,0.2807017543859649
B,70,0.28123604910714284,0.6285714285714286,-0.006781664709271522,0.32857142857142857
