asset_id,mask_condition,mask_variant,intervention,position_group,comparison_count,mean_source_minus_control_logit,ci95_low_logit,ci95_high_logit,positive_logit_count,mean_source_minus_control_rank,ci95_low_rank,ci95_high_rank,positive_rank_count,mean_source_minus_control_gap_closure,positive_gap_closure_count,mean_source_minus_control_correct_wrong_logit,positive_correct_wrong_count
llava15_clt,answer_mask,mask_shuffled,restore,top_hidden_delta_plus_answer_adjacent,45,0.00078125,-0.0011284722222222221,0.002777777777777778,13,0.0,-0.06666666666666667,0.06666666666666667,1,-0.02006943325860703,11,,0
llava15_clt,answer_mask,real_mask,restore,top_hidden_delta_plus_answer_adjacent,45,-0.00013020833333333333,-0.004296875,0.004079861111111111,13,-0.08888888888888889,-0.4,0.28888888888888886,4,-0.013874440132143714,11,-0.0021158854166666665,18
llava15_clt,answer_mask,real_mask,zeroing,top_hidden_delta_plus_answer_adjacent,45,0.05130208333333333,0.03732638888888889,0.06605902777777778,39,0.6444444444444445,0.26666666666666666,1.1111111111111112,12,0.024024170519667418,33,0.04405042860243055,40
llava15_clt,union_mask,mask_shuffled,restore,top_hidden_delta_plus_answer_adjacent,46,0.0012737771739130435,-0.0005095108695652174,0.0030570652173913045,14,-0.06521739130434782,-0.1956521739130435,0.021739130434782608,1,0.023914400327579716,15,,0
llava15_clt,union_mask,real_mask,restore,top_hidden_delta_plus_answer_adjacent,46,0.002122961956521739,-0.001740828804347826,0.007048233695652174,16,0.1956521739130435,-0.08695652173913043,0.5652173913043478,6,-0.10300109008281047,14,0.00430961277173913,25
llava15_clt,union_mask,real_mask,zeroing,top_hidden_delta_plus_answer_adjacent,46,0.032778532608695655,0.021569293478260868,0.045686141304347824,37,0.3695652173913043,0.06521739130434782,0.717391304347826,10,-0.11961581568140166,33,0.02737824813179348,32
qwen2p5vl_clt,answer_mask,mask_shuffled,restore,top_hidden_delta_plus_answer_adjacent,48,0.0026041666666666665,-0.015625,0.020833333333333332,10,0.08333333333333333,-0.08333333333333333,0.3333333333333333,2,-0.024269739173627247,9,,0
qwen2p5vl_clt,answer_mask,real_mask,restore,top_hidden_delta_plus_answer_adjacent,48,0.18619791666666666,0.12825520833333334,0.24544270833333334,34,141.45833333333334,47.1875,261.6875,27,0.12028827118184049,31,0.16259765625,32
qwen2p5vl_clt,answer_mask,real_mask,zeroing,top_hidden_delta_plus_answer_adjacent,48,0.75,0.6256510416666666,0.88671875,48,7.479166666666667,1.2291666666666667,15.854166666666666,18,0.2479969095492817,39,0.6685282389322916,41
qwen2p5vl_clt,union_mask,mask_shuffled,restore,top_hidden_delta_plus_answer_adjacent,48,0.026041666666666668,-0.005208333333333333,0.06640625,11,0.125,-0.041666666666666664,0.3333333333333333,5,-0.0008784281948988608,11,,0
qwen2p5vl_clt,union_mask,real_mask,restore,top_hidden_delta_plus_answer_adjacent,48,0.19856770833333334,0.12239583333333333,0.283203125,34,77.375,29.333333333333332,140.60416666666666,25,-0.006001697203938726,28,0.19059244791666666,36
qwen2p5vl_clt,union_mask,real_mask,zeroing,top_hidden_delta_plus_answer_adjacent,48,0.7141927083333334,0.57421875,0.8697916666666666,48,7.9375,1.5,17.0,22,0.023533584946319026,37,0.6240590413411459,44
qwen2p5vl_plt,answer_mask,mask_shuffled,restore,top_hidden_delta_plus_answer_adjacent,38,0.011513157894736841,-0.004934210526315789,0.029605263157894735,8,0.10526315789473684,0.0,0.23684210526315788,3,0.008787229220232892,8,,0
qwen2p5vl_plt,answer_mask,real_mask,restore,top_hidden_delta_plus_answer_adjacent,38,0.047697368421052634,0.012335526315789474,0.09210526315789473,15,-1.5263157894736843,-43.28947368421053,40.421052631578945,14,0.008501988827267545,11,0.03515625,17
qwen2p5vl_plt,answer_mask,real_mask,zeroing,top_hidden_delta_plus_answer_adjacent,38,0.23190789473684212,0.1513157894736842,0.34375,35,0.868421052631579,0.18421052631578946,1.7894736842105263,9,0.1269197672319997,28,0.15907689144736842,32
qwen2p5vl_plt,union_mask,mask_shuffled,restore,top_hidden_delta_plus_answer_adjacent,37,-0.005067567567567568,-0.013513513513513514,0.0016891891891891893,1,-0.08108108108108109,-0.16216216216216217,0.0,0,-0.010349166716207914,1,,0
qwen2p5vl_plt,union_mask,real_mask,restore,top_hidden_delta_plus_answer_adjacent,37,0.05574324324324324,0.03547297297297297,0.07516891891891891,22,29.945945945945947,10.027027027027026,57.62162162162162,14,0.0050978375190137695,19,0.03441722972972973,22
qwen2p5vl_plt,union_mask,real_mask,zeroing,top_hidden_delta_plus_answer_adjacent,37,0.17905405405405406,0.13851351351351351,0.22128378378378377,31,1.1891891891891893,0.32432432432432434,2.4054054054054053,9,0.07541088000583504,25,0.13017314189189189,29
