position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_clean_mask_logit_gap,mean_effect_rank
answer_adjacent_text,corrupt,activation_matched_topk,union_mask,144,144,-0.002170138888888889,-0.018229166666666668,0.013888888888888888,0.2916666666666667,0.011490415184181162,3.1825493706597223,0.9791666666666666
answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.018120659722222224,-0.03439670138888889,-0.0008626302083333629,0.2222222222222222,0.0009249807794083582,3.1825493706597223,-1.9513888888888888
answer_adjacent_text,corrupt,drop_matched_topk,union_mask,144,144,-0.005099826388888889,-0.03136121961805556,0.021272786458333304,0.3472222222222222,0.0127218770342981,3.1825493706597223,0.3333333333333333
answer_adjacent_text,corrupt,evidence_attribution_topk,union_mask,144,144,0.13878038194444445,0.09754503038194444,0.18131781684027776,0.6388888888888888,0.03752870416022905,3.1825493706597223,3.8194444444444446
answer_adjacent_text,corrupt,random_active_topk,union_mask,144,144,-0.004774305555555556,-0.017361111111111112,0.0078125,0.25,-0.01878149091456228,3.1825493706597223,0.6666666666666666
answer_adjacent_text,restore,activation_matched_topk,union_mask,144,144,0.030327690972222224,0.012259928385416667,0.04980875651041664,0.4166666666666667,0.017325108399898242,3.1825493706597223,-1.5347222222222223
answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.026394314236111112,-0.040852864583333336,-0.011908637152777778,0.18055555555555555,0.0030025401516551604,3.1825493706597223,-49.90277777777778
answer_adjacent_text,restore,drop_matched_topk,union_mask,144,144,0.029473198784722224,0.0012576633029513892,0.057380167643229125,0.4444444444444444,0.01611496548743347,3.1825493706597223,46.30555555555556
answer_adjacent_text,restore,evidence_attribution_topk,union_mask,144,144,0.2610270182291667,0.21281941731770831,0.3121242947048611,0.7638888888888888,0.061641989266894695,3.1825493706597223,305.5625
answer_adjacent_text,restore,random_active_topk,union_mask,144,144,0.009833441840277778,-0.00042249891493055546,0.019979519314236107,0.3194444444444444,-0.002795181592130127,3.1825493706597223,10.895833333333334
top_hidden_delta,corrupt,activation_matched_topk,union_mask,144,144,-0.0037977430555555555,-0.009006076388888888,0.0014105902777777778,0.06944444444444445,-0.006218933760799915,3.1825493706597223,0.13194444444444445
top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.0007595486111111111,-0.0030381944444444445,0.004451497395833318,0.05555555555555555,0.0011137033317979174,3.1825493706597223,0.09722222222222222
top_hidden_delta,corrupt,drop_matched_topk,union_mask,144,144,-0.0013020833333333333,-0.006298828125,0.003689236111111111,0.0763888888888889,-0.001147876914015582,3.1825493706597223,0.22916666666666666
top_hidden_delta,corrupt,evidence_attribution_topk,union_mask,144,144,-0.0035807291666666665,-0.010416666666666666,0.0030381944444444445,0.09722222222222222,-0.0014653088927699869,3.1825493706597223,0.3888888888888889
top_hidden_delta,corrupt,random_active_topk,union_mask,144,144,0.001736111111111111,-0.002387152777777778,0.005859375,0.08333333333333333,-0.00048328227631741456,3.1825493706597223,0.4861111111111111
top_hidden_delta,restore,activation_matched_topk,union_mask,144,144,0.0009901258680555555,-0.0049648708767361105,0.007270304361979165,0.13194444444444445,-0.005510431693806317,3.1825493706597223,-5.763888888888889
top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.00017632378472222222,-0.004667833116319444,0.004611884223090276,0.09722222222222222,0.0051972093587162845,3.1825493706597223,-0.8819444444444444
top_hidden_delta,restore,drop_matched_topk,union_mask,144,144,0.0018988715277777778,-0.002387152777777778,0.006375461154513885,0.125,0.006582192594846146,3.1825493706597223,0.375
