position_group,direction,feature_group,mask_condition,n_pairs,mean_plt,mean_clt,mean_clt_minus_plt,ci95_low_clt_minus_plt,ci95_high_clt_minus_plt,plt_positive_frac,clt_positive_frac,same_positive_frac,sign_agreement_frac,kind,mask_variant,intervention
answer_adjacent_text,corrupt,activation_matched_topk,union_mask,144,0.0008680555555555555,0.020833333333333332,0.019965277777777776,-0.008902994791666665,0.05164930555555555,0.3055555555555556,0.3819444444444444,0.1597222222222222,0.4027777777777778,feature,,
answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,-0.016167534722222224,-0.21028645833333334,-0.1941189236111111,-0.22526584201388888,-0.16340603298611114,0.2222222222222222,0.034722222222222224,0.013888888888888888,0.4097222222222222,feature,,
answer_adjacent_text,corrupt,drop_matched_topk,union_mask,144,-0.006184895833333333,0.08441840277777778,0.0906032986111111,0.03222384982638889,0.1527804904513889,0.3472222222222222,0.5694444444444444,0.22916666666666666,0.4305555555555556,feature,,
answer_adjacent_text,corrupt,evidence_attribution_topk,union_mask,144,0.15049913194444445,0.9875217013888888,0.8370225694444444,0.7323106553819445,0.9519341362847222,0.6597222222222222,0.9861111111111112,0.6597222222222222,0.6736111111111112,feature,,
answer_adjacent_text,corrupt,random_active_topk,union_mask,144,-0.00390625,0.004991319444444444,0.008897569444444444,-0.01584743923611111,0.03298611111111111,0.24305555555555555,0.3680555555555556,0.09027777777777778,0.3541666666666667,feature,,
answer_adjacent_text,restore,activation_matched_topk,union_mask,144,0.028049045138888888,0.011189778645833334,-0.016859266493055556,-0.046915690104166664,0.015604994032118015,0.4166666666666667,0.3888888888888889,0.19444444444444445,0.4305555555555556,feature,,
answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,union_mask,144,-0.026394314236111112,-0.2558055453830295,-0.22941123114691842,-0.26170273886786566,-0.1966387536790636,0.18055555555555555,0.027777777777777776,0.0,0.5277777777777778,feature,,
answer_adjacent_text,restore,drop_matched_topk,union_mask,144,0.024698893229166668,0.08418782552083333,0.059488932291666664,0.000313313802083334,0.1264214409722222,0.4305555555555556,0.4861111111111111,0.2569444444444444,0.4930555555555556,feature,,
answer_adjacent_text,restore,evidence_attribution_topk,union_mask,144,0.2627631293402778,1.2154812282986112,0.9527180989583334,0.8190077039930556,1.0962259928385416,0.7569444444444444,0.9722222222222222,0.75,0.7638888888888888,feature,,
answer_adjacent_text,restore,random_active_topk,union_mask,144,0.008531358506944444,0.005167643229166667,-0.003363715277777778,-0.02200113932291667,0.016293334960937482,0.3055555555555556,0.3958333333333333,0.18055555555555555,0.4305555555555556,feature,,
